 2019-01-31 , 2019-02-28 , 2019-03-31 , 2019-04-30 , 2019-05-31 , 2019-06-30 , 2019-07-31 , 2019-08-31 , 2019-09-30 , 2019-10-31 , 2019-11-30 , 2019-12-31 , 2020-01-31 , 2020-02-28 , 2020-03-31 , 2020-04-30 , 2020-05-31 , 2020-06-30 , 2020-07-31 , 2020-08-31 , 2020-09-30 , 2020-10-31 , 2020-11-30 , 2020-12-31 , 2021-01-31 , 2021-02-28 , 2021-03-31 , 2021-04-30 , 2021-05-31 , 2021-06-30 , 2021-07-31 , 2021-08-31 , 2021-09-30 , 2021-10-31 , 2021-11-30 , 2021-12-31 , 2022-01-31 , 2022-02-28 , 2022-03-31 , 2022-04-30 , 2022-05-31 , 2022-06-30, 2022-07-31 , 2022-08-31 , 2022-09-30 , 2022-10-31 , 2022-11-30 , 2022-12-31 , 2023-01-31 , 2023-02-28 , 2023-03-31 , 2023-04-30 , 2023-05-31 , 2023-06-30 , 2023-07-31 , 2023-08-31 , 2023-09-30 , 2023-10-31 , 2023-11-30 , 2023-12-31 
1.0375,1.0563,1.0625,1.0641,1.0728,1.0751,1.0807,1.0885,1.0918,1.095,1.1026,1.112,1.1221,1.138,1.1428,1.1557,1.1571,1.1531,1.1602,1.1667,1.1735,1.1776,1.1692,1.1818,1.1916,1.1988,1.2175,1.2312,1.2443,1.2529,1.271,1.287,1.298,1.3014,1.3111,1.3231,1.3368,1.3463,1.3486,1.3622,1.3694,1.3744,1.3784,1.3968,1.4042,1.4137,1.4097,1.4061,1.4135,1.4268,1.4387,1.4492,1.459,1.4659,1.4729,1.4824,1.4845,1.4884,1.4997,1.5137
1.0631,1.0694,1.0735,1.0754,1.082,1.0857,1.0896,1.0971,1.1015,1.0229,1.0259,1.0304,1.034,1.0388,1.0442,1.0522,1.0519,1.0499,1.053,1.0577,1.0642,1.07,1.0678,1.0185,1.018,1.021,1.0267,1.0335,1.0403,1.0455,1.0391,1.0454,1.0502,1.0554,1.0622,1.0687,1.0771,1.0809,1.0815,1.0901,1.0968,1.1019,1.1098,1.1154,1.1196,1.1231,1.1201,1.0596,1.0636,1.0701,1.0825,1.09,1.0966,1.1017,1.1062,1.1125,1.1154,1.1182,1.0702,1.0781
1.0398,1.0472,1.0517,1.0525,1.0601,1.0635,1.069,1.025,1.0311,1.0351,1.0403,1.0526,1.0571,1.0648,1.0685,1.076,1.0756,1.0732,1.0838,1.0374,1.0357,1.0434,1.0463,1.042,1.0367,1.0355,1.0435,1.0515,1.0587,1.0704,1.0787,1.0886,1.1002,1.1043,1.1143,1.1215,1.135,1.1393,1.1353,1.1414,1.1506,1.1617,1.1716,1.1795,1.1792,1.1848,1.1838,1.1799,1.1908,1.1989,1.2086,1.2143,1.2171,1.2222,1.2293,1.2288,1.2309,1.2281,1.2286,1.2337
1.439,1.459,1.464,1.481,1.507,1.515,1.524,1.539,1.548,1.55,1.573,1.587,1.593,1.613,1.618,1.644,1.66,1.657,1.659,1.669,1.676,1.685,1.677,1.679,1.681,1.686,1.693,1.703,1.714,1.719,1.733,1.741,1.595,1.6,1.491,1.497,1.503,1.506,1.505,1.515,1.523,1.524,1.535,1.541,1.444,1.448,1.355,1.346,1.349,1.359,1.369,1.375,1.378,1.38,1.385,1.393,1.392,1.393,1.4,1.33
1.0397,1.0407,1.0457,1.0454,1.0311,1.037,1.0478,1.058,1.0661,1.0673,1.0755,1.043,1.0476,1.0659,1.0793,1.0898,1.0896,1.0589,1.0607,1.0659,1.07,1.0466,1.0431,1.0475,1.0492,1.0525,1.0568,1.0621,1.0682,1.0361,1.0454,1.0509,1.0526,1.057,1.0352,1.0394,1.0471,1.0505,1.053,1.0607,1.0674,1.0445,1.0516,1.0571,1.0588,1.0624,1.0295,1.0259,1.0305,1.0368,1.0426,1.0492,1.0552,1.0583,1.0627,1.0705,1.0697,1.0716,1.0385,1.0437
1.084,1.093,1.092,1.086,1.094,1.097,1.103,1.115,1.122,1.125,1.134,1.139,1.146,1.165,1.166,1.182,1.183,1.176,1.171,1.175,1.177,1.133,1.074,1.082,1.085,1.088,1.095,1.1,1.106,1.101,1.085,1.093,1.101,1.104,1.107,1.112,1.123,1.127,1.131,1.135,1.143,1.149,1.153,1.161,1.163,1.165,1.162,1.113,1.117,1.125,1.134,1.141,1.116,1.121,1.126,1.133,1.133,1.1345,1.1376,1.149
1.023,1.029,1.017,1.013,1.013,1.018,1.014,1.023,1.014,1.008,0.996,1.001,1.009,1.031,1.019,1.033,1.023,1.016,1.008,1.015,1.011,1.017,1.0,1.007,0.998,1.002,0.992,0.997,0.993,0.997,0.998,1.004,0.997,1.0,0.997,1.001,0.998,1.002,0.992,0.997,0.995,0.995,0.995,1.003,0.994,0.997,0.98,1.003,1.003,1.008,1.015,1.011,1.015,1.01,1.014,1.011,1.007,0.999,1.002,1.001
1.0885,1.0899,1.0942,1.0937,1.1009,1.1084,1.1147,1.119,1.1224,1.1229,1.0723,1.0248,1.0147,1.0226,1.0268,1.0331,1.0331,1.0303,1.0314,1.0322,1.035,1.0392,1.0389,1.0125,1.0142,1.0169,1.0214,1.0197,1.0202,1.0164,1.0189,1.0204,1.0218,1.0239,1.0282,1.0325,1.0373,1.0391,1.0392,1.0443,1.0494,1.0506,1.0562,1.0609,1.0041,1.0065,1.0049,1.0075,1.0104,1.0163,1.0306,1.0414,1.0513,1.0319,1.0395,1.0512,1.0492,1.0527,1.0617,1.0372
1.11,1.117,1.122,1.122,1.031,1.035,1.041,1.051,1.053,1.051,1.012,1.016,1.022,1.034,1.039,1.011,1.01,1.004,1.003,1.006,1.009,1.013,1.005,1.014,1.018,1.022,1.029,1.036,1.043,1.01,1.021,1.026,1.027,1.03,1.036,1.04,1.047,1.048,1.047,1.055,1.061,1.013,1.02,1.022,1.023,1.025,1.017,1.016,1.02,1.025,1.031,1.035,1.041,1.044,1.047,1.013,1.013,1.015,1.019,1.026
1.042,1.0461,1.0496,1.0487,1.0586,1.0635,1.0599,1.0671,1.0709,1.0749,1.0831,1.09,1.0961,1.1087,1.1127,1.1224,1.1205,1.1162,1.1174,1.1207,1.1264,1.1325,1.1304,1.1372,1.1368,1.1353,1.1413,1.1474,1.1541,1.1578,1.1737,1.1807,1.1844,1.188,1.1975,1.2054,1.2161,1.2166,1.2151,1.2222,1.2321,1.2369,1.2478,1.257,1.2581,1.2654,1.2523,1.2491,1.2523,1.2578,1.2685,1.2756,1.2838,1.2882,1.2931,1.2985,1.298,1.3002,1.3047,1.3133
