 2019-01-31 , 2019-02-28 , 2019-03-31 , 2019-04-30 , 2019-05-31 , 2019-06-30 , 2019-07-31 , 2019-08-31 , 2019-09-30 , 2019-10-31 , 2019-11-30 , 2019-12-31 , 2020-01-31 , 2020-02-28 , 2020-03-31 , 2020-04-30 , 2020-05-31 , 2020-06-30 , 2020-07-31 , 2020-08-31 , 2020-09-30 , 2020-10-31 , 2020-11-30 , 2020-12-31 , 2021-01-31 , 2021-02-28 , 2021-03-31 , 2021-04-30 , 2021-05-31 , 2021-06-30 , 2021-07-31 , 2021-08-31 , 2021-09-30 , 2021-10-31 , 2021-11-30 , 2021-12-31 , 2022-01-31 , 2022-02-28 , 2022-03-31 , 2022-04-30 , 2022-05-31 , 2022-06-30, 2022-07-31 , 2022-08-31 , 2022-09-30 , 2022-10-31 , 2022-11-30 , 2022-12-31 , 2023-01-31 , 2023-02-28 , 2023-03-31 , 2023-04-30 , 2023-05-31 , 2023-06-30 , 2023-07-31 , 2023-08-31 , 2023-09-30 , 2023-10-31 , 2023-11-30 , 2023-12-31 
0.8908,0.9515,1.0124,0.9982,0.9541,0.9706,0.9809,0.9502,0.9558,0.9704,0.9857,1.0464,1.0038,0.9773,0.9369,0.9814,0.9677,1.0079,1.1527,1.2083,1.1518,1.1602,1.2601,1.1931,1.1571,1.2305,1.2862,1.3119,1.4088,1.3851,1.3212,1.4765,1.5308,1.4096,1.4033,1.4913,1.4788,1.5291,1.569,1.5582,1.5802,1.5921,1.5397,1.5937,1.5695,1.4594,1.6224,1.5401,1.5895,1.6434,1.6669,1.7834,1.7238,1.7014,1.8038,1.7334,1.7698,1.7171,1.7147,1.7021
1.296,1.511,1.63,1.598,1.51,1.529,1.542,1.504,1.521,1.528,1.522,1.626,1.644,1.651,1.628,1.665,1.69,1.87,2.27,2.321,2.195,2.24,2.317,2.289,2.274,2.361,2.422,2.378,2.44,2.519,2.505,2.72,2.825,2.808,2.972,3.053,2.861,2.96,2.855,2.613,2.761,2.879,2.864,2.785,2.582,2.556,2.746,2.623,2.829,2.907,2.864,2.856,2.758,2.8,2.839,2.689,2.721,2.621,2.654,2.629
1.0187,1.1241,1.2063,1.2055,1.1539,1.1572,1.1686,1.1456,1.1626,1.1792,1.1878,1.2755,1.2389,1.2309,1.1872,1.2475,1.2471,1.2947,1.4849,1.5287,1.4664,1.492,1.6173,1.5779,1.6265,1.6848,1.6614,1.66,1.6992,1.7239,1.7083,1.9308,1.9384,1.7841,1.7667,1.8523,1.8084,1.9056,1.9566,1.9254,2.0001,2.0713,1.991,2.0392,1.9488,1.8131,2.0138,1.8877,1.9612,1.9962,1.9458,2.0268,1.8595,1.8276,1.9406,1.8547,1.8543,1.7905,1.8081,1.7883
0.9704,1.1057,1.1783,1.1643,1.0834,1.1147,1.1261,1.1043,1.1117,1.1197,1.1016,1.1748,1.1517,1.1565,1.1102,1.1677,1.1642,1.2433,1.4616,1.5275,1.4472,1.444,1.5328,1.4904,1.5021,1.5957,1.6253,1.6575,1.6973,1.6732,1.5961,1.7687,1.8027,1.7262,1.7813,1.888,1.83,1.8912,1.8789,1.735,1.7676,1.8423,1.7793,1.7639,1.6662,1.6053,1.7883,1.6891,1.7727,1.8484,1.8166,1.8804,1.8221,1.8534,1.9202,1.845,1.8935,0.9104,0.9428,0.8303
1.0251,1.1432,1.2043,1.1902,1.1169,1.146,1.1566,1.1369,1.1445,1.1522,1.1348,1.2051,1.1823,1.1856,1.1411,1.1954,1.1916,1.2677,1.4821,1.5449,1.4686,1.4651,1.5493,1.5086,1.519,1.609,1.6378,1.6682,1.7058,1.6828,1.6087,1.7722,1.804,1.7319,1.784,1.8847,1.8307,1.8867,1.877,1.7468,1.778,1.8486,1.788,1.7732,1.6804,1.6223,1.7959,1.7008,1.7755,1.8468,1.8159,1.876,1.8207,1.8497,1.9127,1.8419,1.8869,1.8125,1.873,1.8577
1.298,1.356,1.389,1.384,1.418,1.422,1.429,1.446,1.381,1.378,1.368,1.364,1.366,1.333,1.312,1.338,1.35,1.41,1.502,1.572,1.552,1.54,1.577,1.556,1.603,1.646,1.674,1.705,1.723,1.714,1.66,1.71,1.783,1.747,1.76,1.843,1.751,1.804,1.77,1.737,1.807,1.794,1.78,1.858,1.83,1.777,1.895,1.863,1.953,2.019,2.087,2.18,2.106,2.138,2.163,2.147,2.184,2.119,2.128,2.16
0.824,0.954,1.054,0.986,0.932,0.957,0.951,1.002,1.117,1.168,1.21,1.307,1.327,1.389,1.305,1.374,1.49,1.535,1.711,1.784,1.648,1.72,1.925,1.947,1.907,2.005,1.976,2.021,2.233,2.386,2.472,2.503,2.44,2.361,2.572,2.576,2.347,2.431,2.311,2.157,2.211,2.24,2.342,2.262,2.237,2.173,2.312,2.181,2.298,2.346,2.544,2.78,2.781,2.74,2.684,2.652,2.661,2.614,2.684,2.655
1.197,1.303,1.455,1.442,1.38,1.5,1.507,1.567,1.581,1.595,1.542,1.656,1.609,1.582,1.569,1.743,1.869,2.051,2.616,2.79,2.594,2.625,2.654,2.675,2.608,2.73,2.837,2.944,3.246,3.397,3.827,4.4284,4.223,4.4623,4.6874,4.8537,4.2301,4.4236,4.1318,3.8692,4.1141,4.3224,4.3824,4.3871,4.2131,4.1467,4.3514,4.2915,4.4353,4.4077,4.2953,4.3707,4.4767,4.3867,4.3721,4.1625,4.107,3.9727,4.0236,3.9313
0.3622,0.3886,0.4098,0.4123,0.3976,0.4174,0.4235,0.4288,0.434,0.4399,0.432,0.4585,0.4616,0.484,0.4613,0.4927,0.5021,0.5613,0.634,0.6486,0.6361,0.6689,0.6843,0.7543,0.707,0.6834,0.6689,0.7181,0.7475,0.7558,0.7217,0.6919,0.7335,0.719,0.7374,0.7655,0.6391,0.6239,0.6173,0.6206,0.6027,0.6485,0.614,0.6155,0.5919,0.5887,0.6351,0.6258,0.6498,0.6695,0.6789,0.7128,0.6989,0.7001,0.7169,0.6945,0.6964,0.6835,0.677,0.6124
1.178,1.37,1.589,1.637,1.519,1.622,1.657,1.757,1.788,1.822,1.819,1.992,2.097,2.185,2.257,2.359,2.552,2.923,3.378,3.564,3.366,3.443,3.454,3.763,3.686,3.715,3.635,3.808,4.083,4.083,4.14,4.731,4.86,4.91,5.053,5.217,4.792,4.879,4.551,4.259,4.5,4.822,4.589,4.611,4.385,4.125,4.417,4.347,4.481,4.562,4.536,4.58,4.483,4.397,4.495,4.264,4.258,4.148,4.124,4.024
